abandon	từ bỏ
engine	máy, động cơ
enough	đủ
evening	buổi tối
event	sự kiện
example	ví dụ
exercise	tâp thể dục
experience	kinh nghiệm
eye	mắt
face	mặt, đương đầu
fact	sự việc
factor	nhân tố
factory	nhà máy
fair	công bằng
fell	da lông
field	cánh đồng
find	tìm thấy
fine	tốt, giỏi
finish	kết thúc
first	thứ nhất
fish	cá
floor	chảy
flower	hoa
follow	di theo sau
food	đồ ăn
foot	bàn chân, chân
free	miễn phí
friend	bạn bè
from	từ
fruit	quả, trái cây
gain	lợi ích
game	trò chơi
gap	chỗ trống, đèo
garden	vườn
gate	cổng
gear	thiết bị, dụng cụ
give	cho, biếu, tặng
glass	kính, thủy tinh
go	đi
good	tốt
grass	cỏ
gray	màu xám
great	to, lớn
group	nhóm
grow	mọc lên
guide	dẫn đường
gun	súng
habit	thói quen
hair	tóc
happen	xảy ra
happy	hạnh phúc
hard	cứng, rắn
hardly	khắc nghiệt, tàn khốc, tàn tệ
harm	thiệt hại
hat	cái mũ
hate	ghét, lòng căm ghét
help	giúp đỡ
here	ở đây
high	cao
hill	đồi
hit	đánh, đấm
hot	nóng
house	nhà
human	con người
hunt	đi săn
ice	băng, nước đá
idea	ý tưởng
ideal	quan niệm
include	bao gồm
industry	công nghiệp
invent	phát minh
island	hòn đảo
jeans	quần zin
job	việc làm
join	gia  nhập
jump	nhảy
just	đúng
keep	giữ
key	chìa  khóa
kill	giết
king	vua
know	biết
lady	quý cô
lake	hồ
land	đất canh tác
late	trễ, muộn
lay	xếp, đặt
learn	nghiên cứu, học
length	chiều dài
letter	thư
level	trình độ
list	danh sách
locate	xác định vị trí
love	yêu
machine	máy móc
magazine	tạp chí
main	chính, chủ yếu
maintain	giữ gìn, duy trì
mean	nghĩa
meet	gặp
method	phương pháp
might	có thể
million	triệu
mix	trộn
modern	hiện đại
month	tháng
moon	mặt trăng
mountain	núi
name	tên
nation	dân tộc
nature	tự nhiên
neighbor	hàng xóm
never	không bao giờ
night	đêm
nine 	số chín
